CODE_AGENCE;LIB_AGENCE;longitude;lattitude;code_dir
147;Menzeh VII;10.5253946;34.742568;891
148;BEJA LESSOR;9.1853919;36.7236241;711
149;Khniss;10.8144371;35.7125241;890
150;KSAR HELLAL;10.9001789;35.6435867;890
151;RAOUED;10.1502629;36.9294941;891
152;GABES SUD;10.0525203;33.77955;889
153;SAHLOUL;10.5796753;35.8470718;886
154;SKHIRA;8.8982323;35.4646452;888
155;Les Berges du Lac;10.2388419;36.8350921;882
156;SFAX MOULIN VILLE;10.7613595;34.7528432;888
157;BOUMHEL ELBASSATINE;10.2760168;36.7144642;882
158;ESSABALA;10.4834428;36.5811309;892
159;Centre Urbain Nord;10.1912271;36.8507941;891
160;EL MOUROUJ;10.2093619;36.7345919;882
161;Les Jardins de Carthage;10.33161;36.86108;890
162;TEBOULBA ERRIADH;10.9657094;35.6397314;890
163;MEGRINE;10.2386203;36.7718;882
164;MANNOUBA;36.8161297;36.8161297;891
165;LA MARSA;10.3006474;36.9001395;882
166;Le Kram;10.3010529;36.8530151;882
167;Sfax Poudriere;10.773168;34.7511905;888
168;Mrezga;10.6721724;36.4266863;885
169;Sfax Sud;10.4970644;34.5217814;888
170;GAFSA ENNOUR;8.778976;34.427275;887
171;METLAOUI;8.3119725;34.234975;887
172;MNIHLA;10.1073445;36.8639424;891
173;LAAOUINA;10.16579;36.81897;882
174;RADES;10.276969;36.774402;882
175;Lac 2;10.16579;36.81897;882
176;Sidi Bouzid 2;9.4899807;35.0381821;892
177;Hammamet Sud;10.5681321;36.405222;885
178;Bizerte EL JELAA;9.8460091;37.2727772;883
